Frame,Visibility,X,Y,Z,Event,Timestamp
1,0,0.0,0.0,0.0,0,0.0
2,0,0.0,0.0,0.0,0,0.0084033613445378
3,0,0.0,0.0,0.0,0,0.0167647058823528
4,0,0.0,0.0,0.0,0,0.0251680672268907
5,0,0.0,0.0,0.0,0,0.0673949579831932
6,0,0.0,0.0,0.0,0,0.0731512605042016
7,0,0.0,0.0,0.0,0,0.0761344537815125
8,0,0.0,0.0,0.0,0,0.0777310924369747
9,0,0.0,0.0,0.0,0,0.0813445378151259
10,0,0.0,0.0,0.0,0,0.088235294117647
10,0,0.0,0.0,0.0,0,0.0915966386554621
11,0,0.0,0.0,0.0,0,0.0963865546218487
11,0,0.0,0.0,0.0,0,0.1013865546218487
12,0,0.0,0.0,0.0,0,0.1063865546218487
13,0,0.0,0.0,0.0,0,0.1097478991596638
14,0,0.0,0.0,0.0,0,0.1143277310924369
15,0,0.0,0.0,0.0,0,0.117563025210084
16,0,0.0,0.0,0.0,0,0.1246218487394957
17,0,0.0,0.0,0.0,0,0.1332773109243697
18,0,0.0,0.0,0.0,0,0.1416806722689075
18,0,0.0,0.0,0.0,0,0.1433613445378151
19,0,0.0,0.0,0.0,0,0.1511344537815126
20,0,0.0,0.0,0.0,0,0.1595378151260504
21,0,0.0,0.0,0.0,0,0.1679411764705882
22,0,0.0,0.0,0.0,0,0.1763025210084033
23,0,0.0,0.0,0.0,0,0.1847478991596638
24,0,0.0,0.0,0.0,0,0.1930672268907562
25,0,0.0,0.0,0.0,0,0.2014705882352941
26,0,0.0,0.0,0.0,0,0.2098739495798319
27,0,0.0,0.0,0.0,0,0.2182773109243697
28,0,0.0,0.0,0.0,0,0.2266806722689075
29,0,0.0,0.0,0.0,0,0.2350840336134453
30,0,0.0,0.0,0.0,0,0.2434873949579831
31,0,0.0,0.0,0.0,0,0.251890756302521
32,0,0.0,0.0,0.0,0,0.2602521008403361
33,0,0.0,0.0,0.0,0,0.2686554621848739
34,0,0.0,0.0,0.0,0,0.2770588235294117
35,0,0.0,0.0,0.0,0,0.2854201680672269
36,0,0.0,0.0,0.0,0,0.2938235294117647
37,0,0.0,0.0,0.0,0,0.3022268907563025
38,0,0.0,0.0,0.0,0,0.3106302521008403
39,0,0.0,0.0,0.0,0,0.319033613445378
40,0,0.0,0.0,0.0,0,0.3274369747899159
41,0,0.0,0.0,0.0,0,0.3358403361344537
42,0,0.0,0.0,0.0,0,0.3442436974789916
43,0,0.0,0.0,0.0,0,0.3526050420168067
44,0,0.0,0.0,0.0,0,0.3610084033613445
45,0,0.0,0.0,0.0,0,0.3693697478991596
46,0,0.0,0.0,0.0,0,0.3778151260504201
47,0,0.0,0.0,0.0,0,0.386218487394958
48,0,0.0,0.0,0.0,0,0.3946218487394958
49,0,0.0,0.0,0.0,0,0.4030252100840336
50,0,0.0,0.0,0.0,0,0.4114285714285715
51,0,0.0,0.0,0.0,0,0.4198319327731092
52,0,0.0,0.0,0.0,0,0.4281932773109244
53,0,0.0,0.0,0.0,0,0.4365966386554621
54,0,0.0,0.0,0.0,0,0.4449999999999999
55,0,0.0,0.0,0.0,0,0.4534033613445378
56,0,0.0,0.0,0.0,0,0.4618067226890756
57,0,0.0,0.0,0.0,0,0.4701680672268907
58,0,0.0,0.0,0.0,0,0.4785714285714286
59,0,0.0,0.0,0.0,0,0.4869747899159663
60,0,0.0,0.0,0.0,0,0.4953361344537815
61,0,0.0,0.0,0.0,0,0.5038235294117648
62,0,0.0,0.0,0.0,0,0.5121428571428572
63,0,0.0,0.0,0.0,0,0.520546218487395
64,0,0.0,0.0,0.0,0,0.5289075630252101
65,0,0.0,0.0,0.0,0,0.5373529411764706
66,0,0.0,0.0,0.0,0,0.5457563025210084
67,0,0.0,0.0,0.0,0,0.5541176470588236
68,0,0.0,0.0,0.0,0,0.5625210084033614
69,0,0.0,0.0,0.0,0,0.5708823529411765
70,0,0.0,0.0,0.0,0,0.579327731092437
71,0,0.0,0.0,0.0,0,0.5877310924369749
72,0,0.0,0.0,0.0,0,0.59609243697479
73,0,0.0,0.0,0.0,0,0.6044957983193278
74,0,0.0,0.0,0.0,0,0.6128991596638655
75,0,0.0,0.0,0.0,0,0.6213025210084033
76,0,0.0,0.0,0.0,0,0.6296638655462186
77,0,0.0,0.0,0.0,0,0.6380672268907563
78,0,0.0,0.0,0.0,0,0.6464705882352941
79,0,0.0,0.0,0.0,0,0.6548319327731092
80,0,0.0,0.0,0.0,0,0.6632352941176471
81,0,0.0,0.0,0.0,0,0.6716386554621849
82,0,0.0,0.0,0.0,0,0.6800420168067227
83,0,0.0,0.0,0.0,0,0.6884453781512605
84,0,0.0,0.0,0.0,0,0.6968487394957983
85,0,0.0,0.0,0.0,0,0.7052521008403362
86,0,0.0,0.0,0.0,0,0.713655462184874
87,0,0.0,0.0,0.0,0,0.7220168067226891
88,0,0.0,0.0,0.0,0,0.7303781512605042
89,0,0.0,0.0,0.0,0,0.7387815126050421
90,0,0.0,0.0,0.0,0,0.7471848739495799
91,0,0.0,0.0,0.0,0,0.7555882352941177
92,0,0.0,0.0,0.0,0,0.7639915966386555
93,0,0.0,0.0,0.0,0,0.7723949579831932
94,0,0.0,0.0,0.0,0,0.7807983193277311
95,0,0.0,0.0,0.0,0,0.7892016806722689
96,0,0.0,0.0,0.0,0,0.7976050420168068
97,0,0.0,0.0,0.0,0,0.8060084033613446
98,0,0.0,0.0,0.0,0,0.8143697478991597
99,0,0.0,0.0,0.0,0,0.8227310924369748
100,0,0.0,0.0,0.0,0,0.8311344537815126
101,0,0.0,0.0,0.0,0,0.8395378151260504
102,0,0.0,0.0,0.0,0,0.8479411764705882
103,0,0.0,0.0,0.0,0,0.8563445378151261
104,0,0.0,0.0,0.0,0,0.8647478991596639
105,0,0.0,0.0,0.0,0,0.8731512605042018
106,0,0.0,0.0,0.0,0,0.8815546218487396
107,0,0.0,0.0,0.0,0,0.8899579831932773
108,0,0.0,0.0,0.0,0,0.8983613445378151
109,0,0.0,0.0,0.0,0,0.9067647058823528
110,0,0.0,0.0,0.0,0,0.9151680672268908
111,0,0.0,0.0,0.0,0,0.923529411764706
112,0,0.0,0.0,0.0,0,0.9319327731092436
113,0,0.0,0.0,0.0,0,0.9403361344537816
114,0,0.0,0.0,0.0,0,0.9487394957983194
115,0,0.0,0.0,0.0,0,0.9571428571428572
116,0,0.0,0.0,0.0,0,0.965546218487395
117,0,0.0,0.0,0.0,0,0.9739495798319328
118,0,0.0,0.0,0.0,0,0.9823529411764708
119,0,0.0,0.0,0.0,0,0.9906722689075632
120,0,0.0,0.0,0.0,0,0.9990756302521008
121,0,0.0,0.0,0.0,0,1.007478991596639
122,0,0.0,0.0,0.0,0,1.0158823529411765
123,0,0.0,0.0,0.0,0,1.0242436974789917
124,0,0.0,0.0,0.0,0,1.0326470588235297
125,0,0.0,0.0,0.0,0,1.04109243697479
126,0,0.0,0.0,0.0,0,1.049453781512605
127,0,0.0,0.0,0.0,0,1.057857142857143
128,0,0.0,0.0,0.0,0,1.0662605042016806
129,0,0.0,0.0,0.0,0,1.0746218487394958
130,0,0.0,0.0,0.0,0,1.0830252100840336
131,0,0.0,0.0,0.0,0,1.0914285714285714
132,0,0.0,0.0,0.0,0,1.099873949579832
133,0,0.0,0.0,0.0,0,1.108235294117647
134,0,0.0,0.0,0.0,0,1.116638655462185
135,0,0.0,0.0,0.0,0,1.1250420168067228
136,0,0.0,0.0,0.0,0,1.1334033613445378
137,0,0.0,0.0,0.0,0,1.1418067226890756
138,0,0.0,0.0,0.0,0,1.150252100840336
139,0,0.0,0.0,0.0,0,1.158655462184874
140,0,0.0,0.0,0.0,0,1.167016806722689
141,0,0.0,0.0,0.0,0,1.1754201680672267
142,0,0.0,0.0,0.0,0,1.1837815126050422
143,0,0.0,0.0,0.0,0,1.1922268907563027
144,0,0.0,0.0,0.0,0,1.2005882352941175
145,0,0.0,0.0,0.0,0,1.2089915966386555
146,0,0.0,0.0,0.0,0,1.2173949579831933
147,0,0.0,0.0,0.0,0,1.225798319327731
148,0,0.0,0.0,0.0,0,1.234159663865546
149,0,0.0,0.0,0.0,0,1.242563025210084
150,0,0.0,0.0,0.0,0,1.251008403361345
151,0,0.0,0.0,0.0,0,1.25936974789916
152,0,0.0,0.0,0.0,0,1.2677731092436977
153,0,0.0,0.0,0.0,0,1.2761764705882357
154,0,0.0,0.0,0.0,0,1.2845798319327733
155,0,0.0,0.0,0.0,0,1.292983193277311
156,0,0.0,0.0,0.0,0,1.3013445378151258
157,0,0.0,0.0,0.0,0,1.3097478991596638
158,0,0.0,0.0,0.0,0,1.3181512605042016
159,0,0.0,0.0,0.0,0,1.3265546218487396
160,0,0.0,0.0,0.0,0,1.3349159663865549
161,0,0.0,0.0,0.0,0,1.3433193277310926
162,0,0.0,0.0,0.0,0,1.3517226890756304
163,0,0.0,0.0,0.0,0,1.3601260504201682
164,0,0.0,0.0,0.0,0,1.3684873949579832
165,0,0.0,0.0,0.0,0,1.376890756302521
